,PROPERTIES PAGE,property_name,area,address,sell_price,rent_price,bedrooms,living_rooms,years,efficiency_ratio,lat,long
629,35,Nan Fung Sun Chuen,Quarry Bay ,Flat E| Middle Floor|  Block 08| Nan Fung Sun Chuen| Quarry Bay ,960,40000,3.0,2.0,40.0,82.0,22.2827206,114.2123009
630,36,Skypark,Mongkok ,Flat B6|  Skypark| Mongkok ,980,40000,,,2.0,,22.3203648,114.169773
631,36,Stars By The Harbour,Hung Hom ,Flat C| Middle Floor|  Block 1| Stars By The Harbour| Hung Hom ,2480,40000,3.0,2.0,3.0,,22.3055658,114.1887233
632,36,Serenade,Happy Valley/East Mid Level ,Flat B| High Floor|  Tower 2| Serenade| Happy Valley/East Mid Level ,4100,40000,4.0,2.0,9.0,75.0,42.3486922,-72.5682945
633,36,Park Summit,Tai Kok Tsui ,Flat F| High Floor|  Block 1| Park Summit| Tai Kok Tsui ,600,40000,,2.0,6.0,80.0,22.3198474,114.1620857
634,36,The Sparkle,Lai Chi Kok ,Flat A| Low Floor|  Block 2| The Sparkle| Lai Chi Kok ,1180,40000,,,11.0,73.0,22.3377817,114.1359272
635,36,Metro Harbour View,Tai Kok Tsui ,Flat B| Middle Floor|  Block 10| Phase 2| Metro Harbour View| Tai Kok Tsui ,785,40000,,,15.0,70.0,22.3198474,114.1620857
636,36,Goldwin Heights,Western Mid-Levels ,Flat E| High Floor|  Goldwin Heights| Western Mid-Levels ,2500,40000,3.0,2.0,25.0,77.0,22.2816223,114.147865
637,36,Bel Air Heights,Wong Tai Sin ,Flat E| Middle Floor|  Block 1| Bel Air Heights| Wong Tai Sin ,1080,40000,4.0,2.0,20.0,79.0,37.7775324,-122.4637922
638,36,Aquamarine,Lai Chi Kok ,Flat G| High Floor|  Block 2| Aquamarine| Lai Chi Kok ,1100,40000,2.0,2.0,15.0,75.0,22.3377817,114.1359272
639,36,Manhattan Heights,Western/Sheung Wan Central ,Flat J| High Floor|  Manhattan Heights| Western/Sheung Wan Central ,1180,40000,2.0,2.0,19.0,74.0,37.0937489,-95.7127622
640,36,Hang Po Building,North Point & North Point Midlevel ,Flat A| High Floor|  Hang Po Building| North Point & North Point Midlevel ,630,13500,1.0,1.0,39.0,66.0,37.1222422,-94.47484299999999
641,36,Golden Lion Garden,Shatin ,Flat 8| High Floor|  Stage 2 - Blk A - (Golden Wealth Court)| Golden Lion Garden| Shatin ,580,13500,2.0,1.0,31.0,62.0,22.3771304,114.1974398
642,36,Park Central,Tseung Kwan O ,Flat H| Low Floor|  Block 02| Phase 2| Park Central| Tseung Kwan O ,860,13500,,,16.0,75.0,22.3119357,114.2568776
643,36,Aquamarine,Lai Chi Kok ,Flat G| High Floor|  Block 5| Aquamarine| Lai Chi Kok ,990,13500,2.0,2.0,15.0,75.0,22.3377817,114.1359272
644,36,Lee Kee Building,Amoy/Kowloon Bay ,Flat 4| Low Floor|  Block D| Lee Kee Building| Amoy/Kowloon Bay ,650,13500,2.0,2.0,41.0,86.0,24.479833,118.089425
645,36,Banyan Garden,Lai Chi Kok ,Flat C| High Floor|  Block 8| Phase II| Banyan Garden| Lai Chi Kok ,1500,13500,3.0,2.0,14.0,75.0,22.3377817,114.1359272
646,36,Verdun Villa,Kln Tong / Beacon Hill ,Middle Floor|  Verdun Villa| Kln Tong / Beacon Hill ,3680,13500,5.0,2.0,50.0,83.0,22.3369319,114.1763367
647,36,24-26 King Kwong Street,Happy Valley/East Mid Level ,Middle Floor|  26-28 King Kwong Street| 24-26 King Kwong Street| Happy Valley/East Mid Level ,750,13500,2.0,1.0,53.0,74.0,42.3486922,-72.5682945
648,37,Windsor Court,Western Mid-Levels ,Flat C| High Floor|  Windsor Court| Western Mid-Levels ,750,13500,1.0,,25.0,71.0,22.2816223,114.147865
649,37,The Hudson,Western/Sheung Wan Central ,Flat C| High Floor|  The Hudson| Western/Sheung Wan Central ,2000,13500,3.0,2.0,3.0,,37.0937489,-95.7127622
650,37,Claymore Lodge,Happy Valley/East Mid Level ,Flat A| High Floor|  Claymore Lodge| Happy Valley/East Mid Level ,650,13500,1.0,,29.0,67.0,42.3486922,-72.5682945
651,37,South Horizons,Ap Lei Chau ,Flat E| Low Floor|  Block 08| Phase 2| South Horizons| Ap Lei Chau ,1600,13500,3.0,2.0,26.0,79.0,22.2418581,114.1528532
652,37,Park Towers,North Point & North Point Midlevel ,Flat E| High Floor|  Block 1| Park Towers| North Point & North Point Midlevel ,2570,13500,3.0,2.0,30.0,78.0,37.1222422,-94.47484299999999
653,37,Kornhill,Quarry Bay ,Flat 9| Low Floor|  Block D| Kornhill| Quarry Bay ,1000,13500,3.0,2.0,33.0,79.0,22.2827206,114.2123009
654,37,Everwell Garden,Homantin/Kingspark ,Flat G| Low Floor|  Everwell Gdn| Everwell Garden| Homantin/Kingspark ,2500,13500,4.0,2.0,47.0,91.0,22.318507,114.1755339
655,37,Yuk Ming Court,Tseung Kwan O ,Flat 9| Low Floor|  Block A( Wai Ming Court )| Yuk Ming Court| Tseung Kwan O ,580,13500,,,23.0,73.0,22.3119357,114.2568776
656,37,Peaceful Mansion,Cheung Sha Wan ,Flat E| Middle Floor|  Peaceful Mansion| Cheung Sha Wan ,630,13500,,,17.0,,22.3358055,114.1494892
657,37,Aquamarine,Lai Chi Kok ,Flat D| Low Floor|  Block 5| Aquamarine| Lai Chi Kok ,900,13500,2.0,2.0,15.0,74.0,22.3377817,114.1359272
658,37,Lime Stardom,Mongkok ,Flat K| Middle Floor|  Lime Stardom| Mongkok ,838,13500,1.0,2.0,7.0,78.0,22.3203648,114.169773
659,37,Victoria Skye,Kai Tak ,Flat F| Low Floor|  Ocean Waves Tower 2| Victoria Skye| Kai Tak ,1280,13500,2.0,2.0,,,43.823099,-79.3964749
660,37,Deep Water Bay Road 39,Repulse Bay & Shouson Hill , House| Deep Water Bay Road 39| Repulse Bay & Shouson Hill ,28000,13500,4.0,2.0,32.0,84.0,22.245883,114.177979
661,37,Liberte,Lai Chi Kok ,Flat G| Low Floor|  Block 5| Liberte| Lai Chi Kok ,978,13500,2.0,2.0,15.0,78.0,22.3377817,114.1359272
662,37,Residence Bel-Air,Pokfulam/Residence , Bel-Air Peak Rise (House)| Phase 5 (Villa Bel-Air)| Residence Bel-Air| Pokfulam/Residence ,29800,13500,,,12.0,68.0,22.2679201,114.1290719
663,37,Bon-Point,Western Mid-Levels ,Flat B| High Floor|  Bon-Point| Western Mid-Levels ,2900,13500,3.0,2.0,15.0,70.0,22.2816223,114.147865
664,37,Aria,Wong Tai Sin ,Flat A| Middle Floor|  Block 5| Aria| Wong Tai Sin ,2300,13500,4.0,2.0,8.0,79.0,37.7775324,-122.4637922
665,37,Wan Chai,Causeway Bay ,Flat 5| High Floor|  Southorn Garden| Admiralty| Wan Chai| Causeway Bay ,1050,13500,1.0,2.0,31.0,77.0,22.2859787,114.1914919
666,38,Windsor Court,Western Mid-Levels ,Flat C| High Floor|  Windsor Court| Western Mid-Levels ,750,13500,1.0,,25.0,71.0,22.2816223,114.147865
667,38,The Hudson,Western/Sheung Wan Central ,Flat C| High Floor|  The Hudson| Western/Sheung Wan Central ,2000,13500,3.0,2.0,3.0,,37.0937489,-95.7127622
668,38,Claymore Lodge,Happy Valley/East Mid Level ,Flat A| High Floor|  Claymore Lodge| Happy Valley/East Mid Level ,650,13500,1.0,,29.0,67.0,42.3486922,-72.5682945
669,38,South Horizons,Ap Lei Chau ,Flat E| Low Floor|  Block 08| Phase 2| South Horizons| Ap Lei Chau ,1600,13500,3.0,2.0,26.0,79.0,22.2418581,114.1528532
